gId,filename,catalog_timestamp_utc,station,event_id,case_type,status,on_disk,size_bytes,opens,has_CMK,has_Latitude,has_Longitude,has_time,time_utc_decoded,time_vs_catalog_minutes,satellite_name,sensor_name,manifest_match,error
6382503,3RIMG_14AUG2018_0445_L2B_CMK_V01R00.h5,2018-08-14T04:45:00Z,VOTV,VOTV_CTL_02_20180730T19,control,OK,True,9544722,True,True,True,True,True,2018-08-14T04:45:00Z,0.0,INSAT-3DR,IMAGER,True,
6383035,3RIMG_14AUG2018_0845_L2B_CMK_V01R00.h5,2018-08-14T08:45:00Z,VOTV,VOTV_CTL_02_20180730T19,control,OK,True,9588755,True,True,True,True,True,2018-08-14T08:45:00Z,0.0,INSAT-3DR,IMAGER,True,
6383330,3RIMG_14AUG2018_1145_L2B_CMK_V01R00.h5,2018-08-14T11:45:00Z,VOTV,VOTV_CTL_02_20180730T19,control,OK,True,9552170,True,True,True,True,True,2018-08-14T11:45:00Z,0.0,INSAT-3DR,IMAGER,True,
7530871,3RIMG_25JUL2019_0115_L2B_CMK_V01R00.h5,2019-07-25T01:15:00Z,VOCI,VOCI_CTL_03_20190808T03,control,OK,True,9586496,True,True,True,True,True,2019-07-25T01:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7531825,3RIMG_25JUL2019_0415_L2B_CMK_V01R00.h5,2019-07-25T04:15:00Z,VOCI,VOCI_CTL_03_20190808T03,control,OK,True,9591080,True,True,True,True,True,2019-07-25T04:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7532897,3RIMG_25JUL2019_0715_L2B_CMK_V01R00.h5,2019-07-25T07:15:00Z,VOCI,VOCI_CTL_03_20190808T03,control,OK,True,9581441,True,True,True,True,True,2019-07-25T07:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7533554,3RIMG_25JUL2019_0915_L2B_CMK_V01R00.h5,2019-07-25T09:15:00Z,VOCI,VOCI_CTL_03_20190808T03,control,OK,True,9569964,True,True,True,True,True,2019-07-25T09:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7534288,3RIMG_25JUL2019_1215_L2B_CMK_V01R00.h5,2019-07-25T12:15:00Z,VOCI,VOCI_CTL_03_20190808T03,control,OK,True,9563420,True,True,True,True,True,2019-07-25T12:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7534741,3RIMG_25JUL2019_1445_L2B_CMK_V01R00.h5,2019-07-25T14:45:00Z,VOCI,VOCI_CTL_03_20190808T03,control,OK,True,9550448,True,True,True,True,True,2019-07-25T14:45:00Z,0.0,INSAT-3DR,IMAGER,True,
7568817,3RIMG_08AUG2019_0115_L2B_CMK_V01R00.h5,2019-08-08T01:15:00Z,VOCI,VOCI_TS_03_20190808T03,thunderstorm_episode,OK,True,9618591,True,True,True,True,True,2019-08-08T01:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7569046,3RIMG_08AUG2019_0415_L2B_CMK_V01R00.h5,2019-08-08T04:15:00Z,VOCI,VOCI_TS_03_20190808T03,thunderstorm_episode,OK,True,9631653,True,True,True,True,True,2019-08-08T04:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7569564,3RIMG_08AUG2019_0715_L2B_CMK_V01R00.h5,2019-08-08T07:15:00Z,VOCI,VOCI_TS_03_20190808T03,thunderstorm_episode,OK,True,9626495,True,True,True,True,True,2019-08-08T07:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7569826,3RIMG_08AUG2019_0915_L2B_CMK_V01R00.h5,2019-08-08T09:15:00Z,VOCI,VOCI_TS_03_20190808T03,thunderstorm_episode,OK,True,9633577,True,True,True,True,True,2019-08-08T09:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7570152,3RIMG_08AUG2019_1215_L2B_CMK_V01R00.h5,2019-08-08T12:15:00Z,VOCI,VOCI_TS_03_20190808T03,thunderstorm_episode,OK,True,9626209,True,True,True,True,True,2019-08-08T12:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7570395,3RIMG_08AUG2019_1445_L2B_CMK_V01R00.h5,2019-08-08T14:45:00Z,VOCI,VOCI_TS_03_20190808T03,thunderstorm_episode,OK,True,9616324,True,True,True,True,True,2019-08-08T14:45:00Z,0.0,INSAT-3DR,IMAGER,True,
7645400,3RIMG_10SEP2019_1115_L2B_CMK_V01R00.h5,2019-09-10T11:15:00Z,VABB,VABB_CTL_01_20190924T13,control,OK,True,9602759,True,True,True,True,True,2019-09-10T11:15:00Z,0.0,INSAT-3DR,IMAGER,True,
7645746,3RIMG_10SEP2019_1415_L2B_CMK_V01R00.h5,2019-09-10T14:15:00Z,VABB,VABB_CTL_01_20190924T13,control,OK,True,9579599,True,True,True,True,True,2019-09-10T14:15:00Z,0.0,INSAT-3DR,IMAGER,True,
