station,event_id,case_type,event_start_utc,event_end_utc,satellite_window_start_utc,satellite_window_end_utc,catalog_timestamp_utc,filename,gId,availability_status
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T08:14:00Z,3RIMG_31JUL2018_0814_L2B_CMK_V01R00.h5,6347347,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T08:44:00Z,3RIMG_31JUL2018_0844_L2B_CMK_V01R00.h5,6347405,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T09:14:00Z,3RIMG_31JUL2018_0914_L2B_CMK_V01R00.h5,6347439,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T09:44:00Z,3RIMG_31JUL2018_0944_L2B_CMK_V01R00.h5,6347491,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T10:14:00Z,3RIMG_31JUL2018_1014_L2B_CMK_V01R00.h5,6347532,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T10:44:00Z,3RIMG_31JUL2018_1044_L2B_CMK_V01R00.h5,6347575,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T11:14:00Z,3RIMG_31JUL2018_1114_L2B_CMK_V01R00.h5,6347611,AVAILABLE
VOTV,VOTV_TS_02_20180730T19,thunderstorm_episode,2018-07-30T19:00:00+00:00,2018-07-31T10:00:00+00:00,2018-07-30T17:00:00+00:00,2018-07-31T12:00:00+00:00,2018-07-31T11:44:00Z,3RIMG_31JUL2018_1144_L2B_CMK_V01R00.h5,6347669,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T17:15:00Z,3RIMG_13AUG2018_1715_L2B_CMK_V01R00.h5,6381693,AVAILABLE
VOTV,VOTV_CTL_02_20180730T19,control,2018-08-13T19:00:00+00:00,2018-08-14T10:00:00+00:00,2018-08-13T17:00:00+00:00,2018-08-14T12:00:00+00:00,2018-08-13T17:45:00Z,3RIMG_13AUG2018_1745_L2B_CMK_V01R00.h5,6381715,AVAILABLE
