station,event_id,event_start_utc,event_end_utc,case_type,control_reference_if_any,selection_reason
VIDP,VIDP_CTL_03_20220107T19,2021-12-24T19:00:00+00:00,2021-12-25T07:00:00+00:00,control,VIDP_TS_03_20220107T19,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VIDP,VIDP_TS_04_20200812T15,2020-08-12T15:00:00+00:00,2020-08-13T00:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 10 consecutive/near hours (gap<=2h); year=2020 season=monsoon; duration_h=10
VIDP,VIDP_CTL_04_20200812T15,2020-07-29T15:00:00+00:00,2020-07-30T00:00:00+00:00,control,VIDP_TS_04_20200812T15,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VOCI,VOCI_TS_01_20170512T11,2017-05-12T11:00:00+00:00,2017-05-13T01:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 14 consecutive/near hours (gap<=2h); year=2017 season=pre_monsoon; duration_h=15
VOCI,VOCI_CTL_01_20170512T11,2017-06-02T11:00:00+00:00,2017-06-03T01:00:00+00:00,control,VOCI_TS_01_20170512T11,Same station; 21d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VOCI,VOCI_TS_02_20231103T08,2023-11-03T08:00:00+00:00,2023-11-03T21:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 13 consecutive/near hours (gap<=2h); year=2023 season=post_monsoon; duration_h=14
VOCI,VOCI_CTL_02_20231103T08,2023-10-20T08:00:00+00:00,2023-10-20T21:00:00+00:00,control,VOCI_TS_02_20231103T08,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VOCI,VOCI_TS_03_20190808T03,2019-08-08T03:00:00+00:00,2019-08-08T13:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 10 consecutive/near hours (gap<=2h); year=2019 season=monsoon; duration_h=11
VOCI,VOCI_CTL_03_20190808T03,2019-07-25T03:00:00+00:00,2019-07-25T13:00:00+00:00,control,VOCI_TS_03_20190808T03,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VOCI,VOCI_TS_04_20171102T11,2017-11-02T11:00:00+00:00,2017-11-02T18:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 8 consecutive/near hours (gap<=2h); year=2017 season=post_monsoon; duration_h=8
VOCI,VOCI_CTL_04_20171102T11,2017-11-23T11:00:00+00:00,2017-11-23T18:00:00+00:00,control,VOCI_TS_04_20171102T11,Same station; 21d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VABB,VABB_TS_01_20190924T13,2019-09-24T13:00:00+00:00,2019-09-25T02:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 12 consecutive/near hours (gap<=2h); year=2019 season=monsoon; duration_h=14
VABB,VABB_CTL_01_20190924T13,2019-09-10T13:00:00+00:00,2019-09-11T02:00:00+00:00,control,VABB_TS_01_20190924T13,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VABB,VABB_TS_02_20210608T22,2021-06-08T22:00:00+00:00,2021-06-09T10:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 12 consecutive/near hours (gap<=2h); year=2021 season=monsoon; duration_h=13
VABB,VABB_CTL_02_20210608T22,2021-06-22T22:00:00+00:00,2021-06-23T10:00:00+00:00,control,VABB_TS_02_20210608T22,Same station; 14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VABB,VABB_TS_03_20250614T14,2025-06-14T14:00:00+00:00,2025-06-15T01:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 12 consecutive/near hours (gap<=2h); year=2025 season=monsoon; duration_h=12
VABB,VABB_CTL_03_20250614T14,2025-05-31T14:00:00+00:00,2025-06-01T01:00:00+00:00,control,VABB_TS_03_20250614T14,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
VABB,VABB_TS_04_20240610T15,2024-06-10T15:00:00+00:00,2024-06-11T01:00:00+00:00,thunderstorm_episode,,METAR thunderstorm_target=1 and target_observed=1; 11 consecutive/near hours (gap<=2h); year=2024 season=monsoon; duration_h=11
VABB,VABB_CTL_04_20240610T15,2024-05-27T15:00:00+00:00,2024-05-28T01:00:00+00:00,control,VABB_TS_04_20240610T15,Same station; -14d offset; ±6h pad all observed and thunderstorm_target=0 and no observed target_1h=1
