grain,event_id,station,case_type,event_start_utc,event_end_utc,period,target_timestamp_utc,hourly_timestamp_utc,sat_observation_time_utc,sat_acquisition_end_utc,sat_age_minutes,sat_cloud_mask_at_station,sat_cloud_mask_class,sat_cloudy_fraction_25km,sat_clear_fraction_25km,sat_valid_pixel_count_25km,sat_observation_available,gId,source_filename,in_phase8b_hourly_universe
scan,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,pre_event,2025-06-14T14:00:00Z,,2025-06-14T12:15:00Z,2025-06-14T12:42:30Z,77.5,1.0,Cloudy,1.0,0.0,108.0,1,15682305,3RIMG_14JUN2025_1215_L2B_CMK_V01R00.h5,True
scan,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T14:00:00Z,,2025-06-14T15:15:00Z,2025-06-14T15:42:30Z,-102.5,1.0,Cloudy,1.0,0.0,108.0,1,15682909,3RIMG_14JUN2025_1515_L2B_CMK_V01R00.h5,True
scan,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T14:00:00Z,,2025-06-14T18:15:00Z,2025-06-14T18:42:31Z,-282.517,1.0,Cloudy,1.0,0.0,108.0,1,15683541,3RIMG_14JUN2025_1815_L2B_CMK_V01R00.h5,True
scan,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T14:00:00Z,,2025-06-14T21:15:00Z,2025-06-14T21:42:30Z,-462.5,1.0,Cloudy,1.0,0.0,108.0,1,15684365,3RIMG_14JUN2025_2115_L2B_CMK_V01R00.h5,True
scan,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T14:00:00Z,,2025-06-15T00:15:00Z,2025-06-15T00:42:30Z,-642.5,1.0,Cloudy,1.0,0.0,108.0,1,15685171,3RIMG_15JUN2025_0015_L2B_CMK_V01R00.h5,True
scan,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,post_event,2025-06-14T14:00:00Z,,2025-06-15T02:45:00Z,2025-06-15T03:12:29Z,-792.483,1.0,Cloudy,1.0,0.0,108.0,1,15685687,3RIMG_15JUN2025_0245_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T14:00:00Z,2025-06-14T14:00:00Z,2025-06-14T12:15:00Z,2025-06-14T12:42:30Z,77.5,1.0,,1.0,0.0,108.0,1,15682305.0,3RIMG_14JUN2025_1215_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T15:00:00Z,2025-06-14T15:00:00Z,,,,,,,,,0,,,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T16:00:00Z,2025-06-14T16:00:00Z,2025-06-14T15:15:00Z,2025-06-14T15:42:30Z,17.5,1.0,,1.0,0.0,108.0,1,15682909.0,3RIMG_14JUN2025_1515_L2B_CMK_V01R00.h5,True
hourly_causal,VABB_TS_03_20250614T14,VABB,thunderstorm_episode,2025-06-14T14:00:00Z,2025-06-15T01:00:00Z,event,2025-06-14T17:00:00Z,2025-06-14T17:00:00Z,2025-06-14T15:15:00Z,2025-06-14T15:42:30Z,77.5,1.0,,1.0,0.0,108.0,1,15682909.0,3RIMG_14JUN2025_1515_L2B_CMK_V01R00.h5,True
