filename,n_events,n_groups,n_flashes,min_latitude,max_latitude,min_longitude,max_longitude,observation_start_time,observation_end_time,n_valid_geolocated_observations,open_backend
TRMM_LIS_SC.05.0_2014.003.91898.nc,7634,1358,79,-35.58924865722656,-1.0089191198349,-146.0264434814453,14.162893295288086,2014-01-03T01:41:53.906985+00:00,2014-01-03T03:00:04.423388+00:00,79,netCDF4
TRMM_LIS_SC.05.0_2014.003.91899.nc,2102,419,70,-28.40960121154785,-27.047014236450195,-58.52064514160156,-52.418113708496094,2014-01-03T03:20:16.807910+00:00,2014-01-03T03:22:44.927111+00:00,70,netCDF4
TRMM_LIS_SC.05.0_2014.003.91900.nc,6502,1496,194,-26.443038940429688,34.66328048706055,-65.20086669921875,147.69281005859375,2014-01-03T04:57:05.665774+00:00,2014-01-03T05:57:30.948931+00:00,194,netCDF4
TRMM_LIS_SC.05.0_2014.003.91901.nc,48157,12540,1440,-27.567228317260742,36.2800407409668,-73.50637817382812,152.67874145507812,2014-01-03T06:34:02.736102+00:00,2014-01-03T07:40:23.774493+00:00,1440,netCDF4
TRMM_LIS_SC.05.0_2014.003.91902.nc,8908,2357,194,-32.240684509277344,35.537837982177734,30.34286880493164,154.45578002929688,2014-01-03T08:41:09.992144+00:00,2014-01-03T09:18:45.575488+00:00,194,netCDF4
TRMM_LIS_SC.05.0_2014.003.91903.nc,158,40,4,-26.011747360229492,8.690878868103027,-136.7805633544922,70.59761810302734,2014-01-03T09:34:22.031741+00:00,2014-01-03T10:33:14.743899+00:00,4,netCDF4
TRMM_LIS_SC.05.0_2014.003.91904.nc,2532,557,27,-18.548463821411133,19.936803817749023,-146.53318786621094,59.92679977416992,2014-01-03T11:10:57.081439+00:00,2014-01-03T12:10:05.124728+00:00,27,netCDF4
TRMM_LIS_SC.05.0_2014.003.91905.nc,20006,4152,394,-31.543651580810547,-2.5190906524658203,22.595365524291992,156.99417114257812,2014-01-03T12:33:35.912524+00:00,2014-01-03T13:46:56.234195+00:00,394,netCDF4
TRMM_LIS_SC.05.0_2014.003.91906.nc,1734,446,23,-30.382450103759766,-9.725136756896973,14.45583724975586,46.97905731201172,2014-01-03T15:14:37.907840+00:00,2014-01-03T15:25:01.866198+00:00,23,netCDF4
TRMM_LIS_SC.05.0_2014.003.91908.nc,16579,3736,271,-32.75860595703125,35.24123001098633,-147.84388732910156,142.37530517578125,2014-01-03T17:20:25.351947+00:00,2014-01-03T18:36:01.341220+00:00,271,netCDF4
TRMM_LIS_SC.05.0_2014.003.91909.nc,40445,9882,898,-21.356069564819336,35.059654235839844,-147.40829467773438,124.01753234863281,2014-01-03T18:54:20.522753+00:00,2014-01-03T19:56:20.605639+00:00,898,netCDF4
TRMM_LIS_SC.05.0_2014.003.91910.nc,25729,6649,633,-32.406768798828125,34.40770721435547,-149.3192901611328,154.54864501953125,2014-01-03T20:12:15.681033+00:00,2014-01-03T21:34:44.860858+00:00,633,netCDF4
TRMM_LIS_SC.05.0_2014.003.91911.nc,4071,1002,108,-31.710174560546875,2.2290492057800293,-55.936283111572266,78.94844818115234,2014-01-03T21:49:26.358218+00:00,2014-01-03T23:10:44.926608+00:00,108,netCDF4
TRMM_LIS_SC.05.0_2014.003.91912.nc,2615,474,48,-22.2360782623291,7.054770469665527,14.891470909118652,57.52743911743164,2014-01-03T23:27:19.413974+00:00,2014-01-03T23:41:09.409732+00:00,48,netCDF4
TRMM_LIS_SC.05.0_2014.004.91913.nc,11992,2097,146,-31.235429763793945,-1.9796724319458008,-151.5032196044922,27.22458839416504,2014-01-04T00:54:02.175723+00:00,2014-01-04T02:05:40.531192+00:00,146,netCDF4
TRMM_LIS_SC.05.0_2014.004.91914.nc,978,175,34,-28.28797149658203,28.0410213470459,-44.76021194458008,178.24884033203125,2014-01-04T02:27:59.121341+00:00,2014-01-04T03:31:39.630161+00:00,34,netCDF4
TRMM_LIS_SC.05.0_2014.004.91915.nc,8197,2081,247,-23.451576232910156,33.30998992919922,-59.152103424072266,31.60190200805664,2014-01-04T04:02:55.686206+00:00,2014-01-04T04:31:17.178943+00:00,247,netCDF4
TRMM_LIS_SC.05.0_2014.004.91916.nc,23291,6062,571,-20.09211540222168,35.593868255615234,-69.57097625732422,145.337158203125,2014-01-04T05:39:15.357150+00:00,2014-01-04T06:42:22.087543+00:00,571,netCDF4
TRMM_LIS_SC.05.0_2014.004.91917.nc,26630,5997,592,-36.89653396606445,34.1124382019043,-74.15151977539062,165.7735137939453,2014-01-04T07:17:20.808994+00:00,2014-01-04T08:26:08.970157+00:00,592,netCDF4
TRMM_LIS_SC.05.0_2014.004.91918.nc,130,28,3,-25.707496643066406,-24.247867584228516,-136.25558471679688,-135.21633911132812,2014-01-04T08:38:37.540454+00:00,2014-01-04T08:39:17.679141+00:00,3,netCDF4
TRMM_LIS_SC.05.0_2014.004.91919.nc,1067,262,19,-37.700321197509766,-18.597740173339844,-140.25218200683594,167.4785614013672,2014-01-04T10:02:06.979129+00:00,2014-01-04T10:17:11.555682+00:00,19,netCDF4
TRMM_LIS_SC.05.0_2014.004.91920.nc,594,144,19,-21.24100112915039,15.90444278717041,-174.06874084472656,57.8483772277832,2014-01-04T11:45:41.258243+00:00,2014-01-04T12:52:27.922137+00:00,19,netCDF4
TRMM_LIS_SC.05.0_2014.004.91921.nc,21990,4575,402,-24.1940975189209,-6.325745582580566,-177.5552978515625,169.0357208251953,2014-01-04T13:20:07.826587+00:00,2014-01-04T14:28:48.731708+00:00,402,netCDF4
TRMM_LIS_SC.05.0_2014.004.91923.nc,8023,1895,178,-35.34039306640625,23.865678787231445,-83.0651626586914,155.52914428710938,2014-01-04T16:23:34.276630+00:00,2014-01-04T17:40:47.206546+00:00,178,netCDF4
